"COUNTY","STATE","POPEST2019","BEDS","HELIPADS","NONPROF","PRIVATE","GOVERNM","LAT","LON","Index","Beds_z","POPEST2019_z","HELIPADS_z","NONPROF_z","PRIVATE_z","GOVERNM_z"
"DeKalb County","Alabama",71513,134,1,0,1,0,34.4524349,-85.7662118,25,-0.166690561133769,-0.0988294387699053,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229
"Elmore County","Alabama",81209,138,2,0,2,0,32.5801231,-86.125195,26,-0.163046367109421,-0.0697522012066273,0.299104122504934,-0.436459009712868,0.512484124227948,-0.51904074054229
"Escambia County","Alabama",36633,142,2,1,0,1,31.1168422,-87.1070947,27,-0.159402173085073,-0.203430722413381,0.299104122504934,-0.0425049136146688,-0.245447209414891,0.525022003877604
"Etowah County","Alabama",102268,739,2,0,4,0,34.0371404,-86.022147,28,0.384493785048888,-0.00659857642887649,0.299104122504934,-0.436459009712868,1.27041545787079,-0.51904074054229
"Fayette County","Alabama",16302,61,1,0,0,1,33.7303493,-87.7419088,29,-0.233197102078123,-0.264401155261875,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Franklin County","Alabama",31362,125,2,0,1,1,34.440962,-87.8339064,30,-0.174889997688553,-0.219237871670398,0.299104122504934,-0.436459009712868,0.133518457406528,0.525022003877604
"Geneva County","Alabama",26271,83,1,0,0,1,31.0862933,-85.803014,31,-0.213154034944208,-0.234505220725126,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Greene County","Alabama",8111,20,1,0,0,1,32.8620514,-87.9915392,32,-0.270550090827691,-0.288965063356018,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Hale County","Alabama",14651,39,0,0,0,1,32.7412417,-87.6561668,33,-0.253240169212038,-0.269352322672867,-0.574302153434195,-0.436459009712868,-0.245447209414891,0.525022003877604
"Henry County","Alabama",17205,0,0,0,0,0,31.4838041,-85.2447377,34,-0.288771060949432,-0.261693157580394,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Houston County","Alabama",105882,782,4,0,4,1,31.1355603,-85.2654592,35,0.42366887081063,0.00423941207707305,1.17251039844406,-0.436459009712868,1.27041545787079,0.525022003877604
"Jackson County","Alabama",51626,170,1,0,0,1,34.7692447,-85.9867941,36,-0.133892814914636,-0.158468364452755,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Jefferson County","Alabama",658573,4926,10,3,6,4,33.5228184,-86.9164513,37,4.19905388003531,1.66169893209416,3.79272922626145,0.745403278581729,2.02834679151363,3.65721023713729
"Lamar County","Alabama",13805,0,0,0,0,0,33.7490016,-88.1003689,38,-0.288771060949432,-0.271889383623623,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Lauderdale County","Alabama",92729,358,1,0,1,0,34.9049555,-87.6747398,39,0.0373843042297268,-0.0352049882601584,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229
"Lawrence County","Alabama",32924,98,1,0,0,1,34.4776367,-87.3017331,40,-0.199488307352903,-0.214553605470538,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Lee County","Alabama",164542,314,1,0,0,1,32.5814796,-85.3077038,41,-0.00270183003810281,0.180154300222895,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Limestone County","Alabama",98915,102,1,0,2,0,34.8342463,-86.9901321,42,-0.195844113328554,-0.0166538546415076,-0.13759901546463,-0.436459009712868,0.512484124227948,-0.51904074054229
"Lowndes County","Alabama",9726,0,0,0,0,0,32.1088066,-86.6402541,43,-0.288771060949432,-0.284121855985485,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Macon County","Alabama",18068,0,1,0,0,1,32.366606,-85.6660307,44,-0.288771060949432,-0.259105115499422,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Madison County","Alabama",372909,1178,4,1,3,2,34.7736807,-86.5675095,45,0.784444079221096,0.805024015502139,1.17251039844406,-0.0425049136146688,0.891449791049367,1.5690847482975
"Marengo County","Alabama",18863,99,1,0,0,1,32.201002,-87.7569365,46,-0.198577258846816,-0.256720997939314,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Marion County","Alabama",29709,120,2,1,1,0,34.1128132,-87.8544031,47,-0.179445240218988,-0.224195036861415,0.299104122504934,-0.0425049136146688,0.133518457406528,-0.51904074054229
"Marshall County","Alabama",96774,240,2,0,0,2,34.3396046,-86.3301801,48,-0.0701194194885435,-0.0230744781587289,0.299104122504934,-0.436459009712868,-0.245447209414891,1.5690847482975
"Mobile County","Alabama",413210,1929,6,3,2,2,30.6488242,-88.194642,49,1.46864150729246,0.925882281904538,2.04591667438319,0.745403278581729,0.512484124227948,1.5690847482975
"Monroe County","Alabama",20733,94,1,0,0,1,31.5593935,-87.3781004,50,-0.203132501377251,-0.251113073615538,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Montgomery County","Alabama",226486,1143,4,1,2,4,32.1672192,-86.1999118,51,0.75255738150805,0.36591754317047,1.17251039844406,-0.0425049136146688,0.512484124227948,3.65721023713729
"Morgan County","Alabama",119679,476,1,0,3,1,34.4296848,-86.8529584,52,0.144888027947997,0.0456150975824925,-0.13759901546463,-0.436459009712868,0.891449791049367,0.525022003877604
"Perry County","Alabama",8923,0,0,0,0,0,32.6421387,-87.2876639,53,-0.288771060949432,-0.286529964665694,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Pickens County","Alabama",19930,56,1,0,0,1,33.2948421,-88.1244034,54,-0.237752344608558,-0.253521182295748,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Pike County","Alabama",33114,97,1,0,1,0,31.7615793,-85.9259465,55,-0.20039935585899,-0.213983816368122,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229
"Randolph County","Alabama",22722,34,0,1,0,0,33.2651763,-85.4693961,56,-0.257795411742473,-0.24514828138025,-0.574302153434195,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Russell County","Alabama",57961,118,0,0,2,0,32.2698458,-85.1959487,57,-0.181267337231162,-0.13947039622221,-0.574302153434195,-0.436459009712868,0.512484124227948,-0.51904074054229
"St. Clair County","Alabama",89512,40,1,1,0,0,33.7086407,-86.3364,58,-0.252329120705951,-0.0448524174310603,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Shelby County","Alabama",217702,349,2,0,3,0,33.2503347,-86.6639746,59,0.0291848676749435,0.339575293298788,0.299104122504934,-0.436459009712868,0.891449791049367,-0.51904074054229
"Sumter County","Alabama",12427,33,0,1,0,0,32.5234698,-88.1837986,60,-0.25870646024856,-0.276021854061143,-0.574302153434195,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Talladega County","Alabama",79978,285,1,2,0,0,33.3967079,-86.1597137,61,-0.0291222367146269,-0.0734438348122786,-0.13759901546463,0.35144918248353,-0.245447209414891,-0.51904074054229
"Tallapoosa County","Alabama",40367,127,2,1,1,0,32.8595687,-85.8023774,62,-0.173067900676379,-0.192232867105905,0.299104122504934,-0.0425049136146688,0.133518457406528,-0.51904074054229
"Tuscaloosa County","Alabama",209355,933,2,0,2,5,33.2668398,-87.4862182,63,0.561237195229773,0.314543558362662,0.299104122504934,-0.436459009712868,0.512484124227948,4.70127298155718
"Walker County","Alabama",63521,267,1,0,1,0,33.7804491,-87.2767248,64,-0.0455211098241935,-0.122796567751518,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229
"Washington County","Alabama",16326,25,1,0,0,1,31.3991238,-88.2019828,65,-0.265994848297256,-0.26432918190157,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Wilcox County","Alabama",10373,30,1,0,0,1,31.9523021,-87.3005169,66,-0.261439605766821,-0.282181574147259,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Winston County","Alabama",23629,59,1,1,0,0,34.1328863,-87.361354,67,-0.235019199090297,-0.242428288138718,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Aleutians East Borough","Alaska",3337,0,0,0,0,0,55.0512443,-162.8916892,68,-0.288771060949432,-0.303281764276717,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Aleutians West Census Area","Alaska",5634,0,0,0,0,0,51.5672222,178.8776,69,-0.288771060949432,-0.296393313917512,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Anchorage Municipality","Alaska",288000,988,4,2,4,3,61.2163129,-149.8948523,70,0.61134486306456,0.550391263412579,1.17251039844406,0.35144918248353,1.27041545787079,2.61314749271739
"Bethel Census Area","Alaska",18386,37,0,1,0,0,60.392415,-162.313490664873,71,-0.255062266224212,-0.258151468475379,-0.574302153434195,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Bristol Bay Borough","Alaska",836,0,0,0,0,0,58.7370341,-156.8753867,72,-0.288771060949432,-0.310781988198515,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Denali Borough","Alaska",2097,0,0,0,0,0,63.878678,-149.650166,73,-0.288771060949432,-0.307000387892482,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Dillingham Census Area","Alaska",4916,14,1,1,0,0,59.9011107,-158.2016852,74,-0.276016381864214,-0.298546516946641,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Fairbanks North Star Borough","Alaska",96849,217,2,1,0,2,64.8649039,-146.7751619,75,-0.0910735351285453,-0.0228495614077754,0.299104122504934,-0.0425049136146688,-0.245447209414891,1.5690847482975
"Haines Borough","Alaska",2530,0,0,0,0,0,59.0831232,-135.3430573,76,-0.288771060949432,-0.305701868516977,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Hoonah-Angoon Census Area","Alaska",2148,0,0,0,0,0,58.064782,-135.69923754728,77,-0.288771060949432,-0.306847444501834,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Juneau City and Borough","Alaska",31974,0,0,0,0,0,58.3019496,-134.419734,78,-0.288771060949432,-0.217402550982617,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Kenai Peninsula Borough","Alaska",58708,204,3,2,0,1,60.0968272,-151.788033,79,-0.102917165707677,-0.137230225382712,0.735807260474499,0.35144918248353,-0.245447209414891,0.525022003877604
"Ketchikan Gateway Borough","Alaska",13901,54,1,1,0,0,55.489748,-131.011963,80,-0.239574441620732,-0.271601490182403,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Kodiak Island Borough","Alaska",12998,25,1,1,0,0,57.5433765,-153.3574124,81,-0.265994848297256,-0.274309487863884,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Kusilvak Census Area","Alaska",8314,0,0,0,0,0,62.2002165,-163.764702,82,-0.288771060949432,-0.288356288683437,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Lake and Peninsula Borough","Alaska",1592,0,0,0,0,0,58.3277109,-156.154765,83,-0.288771060949432,-0.308514827348903,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Matanuska-Susitna Borough","Alaska",108317,74,1,0,1,0,62.3402481,-149.4793288,84,-0.221353471498991,0.0115417092580324,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229
"Nome Census Area","Alaska",10004,36,0,1,0,0,65.0031061,-163.0930151,85,-0.255973314730299,-0.28328816456195,-0.574302153434195,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"North Slope Borough","Alaska",9832,0,0,0,0,0,69.5335129,-153.8220681,86,-0.288771060949432,-0.283803973644137,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Northwest Arctic Borough","Alaska",7621,17,0,1,0,0,67.2385127,-159.9816347,87,-0.273283236345953,-0.290434519462248,-0.574302153434195,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Petersburg Borough","Alaska",3266,0,0,0,0,0,56.7512207,-133.4588406,88,-0.288771060949432,-0.303494685467619,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Prince of Wales-Hyder Census Area","Alaska",6203,0,0,0,0,0,55.5110315,-132.998603491741,89,-0.288771060949432,-0.294686945500277,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Sitka City and Borough","Alaska",8493,0,0,0,0,0,57.4086082,-135.4596206,90,-0.288771060949432,-0.287819487371162,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Skagway Municipality","Alaska",1183,0,0,0,0,0,59.6226362,-135.4094368,91,-0.288771060949432,-0.309741373364103,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Southeast Fairbanks Census Area","Alaska",6893,0,0,0,0,0,63.8489123,-143.987358140695,92,-0.288771060949432,-0.292617711391504,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Valdez-Cordova Census Area","Alaska",9202,44,2,0,0,2,61.450876,-144.103786777545,93,-0.248684926681603,-0.285693274352147,0.299104122504934,-0.436459009712868,-0.245447209414891,1.5690847482975
"Wrangell City and Borough","Alaska",2502,0,0,0,0,0,56.2045673,-132.0432552,94,-0.288771060949432,-0.305785837437333,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Yakutat City and Borough","Alaska",579,0,0,0,0,0,59.6391781,-139.3429439,95,-0.288771060949432,-0.311552702931783,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Yukon-Koyukuk Census Area","Alaska",5230,0,0,0,0,0,65.2266005,-153.547228715987,96,-0.288771060949432,-0.297604865482648,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Apache County","Arizona",71887,45,2,1,0,2,35.214632,-109.4786676,97,-0.247773878175516,-0.0977078539051501,0.299104122504934,-0.0425049136146688,-0.245447209414891,1.5690847482975
"Cochise County","Arizona",125922,267,7,2,1,3,31.8514532,-109.8181858,98,-0.0455211098241935,0.064337167931868,2.48261981235276,0.35144918248353,0.133518457406528,2.61314749271739
"Coconino County","Arizona",143476,308,3,2,0,1,35.9363252,-111.6948197,99,-0.00816812107462502,0.116979683215055,0.735807260474499,0.35144918248353,-0.245447209414891,0.525022003877604
"Gila County","Arizona",54018,69,4,1,1,1,33.7517565,-110.8052705,100,-0.225908714029427,-0.151295019542342,1.17251039844406,-0.0425049136146688,0.133518457406528,0.525022003877604
"Graham County","Arizona",38837,49,1,1,0,0,32.8397096,-109.8685752,101,-0.244129684151167,-0.196821168825358,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Greenlee County","Arizona",9498,0,0,0,0,0,33.2312681,-109.2751297,102,-0.288771060949432,-0.284805602908384,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"La Paz County","Arizona",21108,25,2,1,0,1,33.7923828,-114.0184443,103,-0.265994848297256,-0.24998848986077,0.299104122504934,-0.0425049136146688,-0.245447209414891,0.525022003877604
"Maricopa County","Arizona",4485414,9767,41,24,27,6,33.34883,-112.49123,104,8.60943969800265,13.1379741872398,17.3305265033179,9.0184392966439,9.98662579476344,5.74533572597707
"Mohave County","Arizona",212181,588,5,1,3,0,35.7218038,-113.8271174,105,0.246925460629745,0.323018421538592,1.60921353641363,-0.0425049136146688,0.891449791049367,-0.51904074054229
"Navajo County","Arizona",110924,130,4,2,0,2,35.1819775,-110.3549451,106,-0.170334755158117,0.0193598155211786,1.17251039844406,0.35144918248353,-0.245447209414891,1.5690847482975
"Pima County","Arizona",1047279,3157,12,2,7,6,32.1112624,-111.6546163,107,2.58740907276734,2.82738547337629,4.66613550220058,0.35144918248353,2.40731245833505,5.74533572597707
"Pinal County","Arizona",462789,249,7,2,0,0,32.8085851,-111.4426212,108,-0.0619199829337602,1.0745642498449,2.48261981235276,0.35144918248353,-0.245447209414891,-0.51904074054229
"Santa Cruz County","Arizona",46498,56,1,1,0,0,31.5094579,-110.8476281,109,-0.237752344608558,-0.173846672437954,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Yavapai County","Arizona",235099,332,4,4,0,0,34.5668857,-112.5515965,110,0.0136970430714638,0.391746982849979,1.17251039844406,1.13935737467993,-0.245447209414891,-0.51904074054229
"Yuma County","Arizona",213787,410,1,1,1,1,32.7915374,-113.8975031,111,0.0847588265462527,0.327834638899011,-0.13759901546463,-0.0425049136146688,0.133518457406528,0.525022003877604
"Arkansas County","Arkansas",17486,25,2,2,0,0,34.2902454,-91.3598511,112,-0.265994848297256,-0.260850469486822,0.299104122504934,0.35144918248353,-0.245447209414891,-0.51904074054229
"Ashley County","Arkansas",19657,33,1,1,0,0,33.1742582,-91.7295595,113,-0.25870646024856,-0.254339879269219,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Baxter County","Arkansas",41932,268,1,1,0,0,36.2820691,-92.3445222,114,-0.0446100613181065,-0.187539604236008,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Benton County","Arkansas",279141,335,5,1,2,0,36.3456186,-94.2670404,115,0.016430188589725,0.523824096789943,1.60921353641363,-0.0425049136146688,0.512484124227948,-0.51904074054229
"Boone County","Arkansas",37432,174,1,1,0,0,36.2829183,-93.0784759,116,-0.130248620890288,-0.201034609293222,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Bradley County","Arkansas",10763,35,1,1,0,0,33.4494147,-92.16876,117,-0.256884363236386,-0.2810120070423,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Calhoun County","Arkansas",5189,0,0,0,0,0,33.5556787,-92.5143633,118,-0.288771060949432,-0.29772781997317,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Carroll County","Arkansas",28380,47,2,1,1,0,36.3386737,-93.5093048,119,-0.245951781163341,-0.228180561688312,0.299104122504934,-0.0425049136146688,0.133518457406528,-0.51904074054229
"Chicot County","Arkansas",10118,40,2,1,1,0,33.2536665,-91.3026986,120,-0.252329120705951,-0.282946291100501,0.299104122504934,-0.0425049136146688,0.133518457406528,-0.51904074054229
"Clark County","Arkansas",22320,25,1,1,0,0,34.0541966,-93.198963,121,-0.265994848297256,-0.246353835165361,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Clay County","Arkansas",14551,25,1,0,0,1,36.3609902,-90.4087659,122,-0.265994848297256,-0.269652211674138,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Cleburne County","Arkansas",24919,25,1,1,0,0,35.5298937,-92.0312818,123,-0.265994848297256,-0.238559720022316,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Cleveland County","Arkansas",7956,0,0,0,0,0,33.8847138,-92.1724506,124,-0.288771060949432,-0.289429891307989,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Columbia County","Arkansas",23457,70,1,0,0,1,33.1938586,-93.2344337,125,-0.22499766552334,-0.242944097220905,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Conway County","Arkansas",20846,35,1,1,0,0,35.2521996,-92.6888936,126,-0.256884363236386,-0.250774199044102,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Craighead County","Arkansas",110332,631,3,4,1,0,35.8348413,-90.6441144,127,0.286100546391488,0.0175844726336518,0.735807260474499,1.13935737467993,0.133518457406528,-0.51904074054229
"Crawford County","Arkansas",63257,103,1,0,1,0,35.5803044,-94.2684622,128,-0.194933064822467,-0.123588274714875,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229
"Crittenden County","Arkansas",47955,206,1,1,1,0,35.2505701,-90.3192299,129,-0.101095068695503,-0.169477289689429,-0.13759901546463,-0.0425049136146688,0.133518457406528,-0.51904074054229
"Cross County","Arkansas",16419,25,1,0,0,0,35.3001216,-90.7750181,130,-0.265994848297256,-0.264050285130388,-0.13759901546463,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Dallas County","Arkansas",7009,25,1,0,0,1,33.9630776,-92.6853662,131,-0.265994848297256,-0.29226984015003,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Desha County","Arkansas",11361,50,2,1,0,0,33.7740219,-91.3110517,132,-0.24321863564508,-0.279218670814697,0.299104122504934,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Drew County","Arkansas",18219,49,1,0,0,1,33.5716907,-91.7160969,133,-0.244129684151167,-0.258652283107502,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Faulkner County","Arkansas",126007,172,2,1,2,0,35.1470851,-92.3219053,134,-0.132070717902462,0.0645920735829487,0.299104122504934,-0.0425049136146688,0.512484124227948,-0.51904074054229
"Franklin County","Arkansas",17715,0,1,0,0,0,35.5110075,-93.8864847,135,-0.288771060949432,-0.26016372367391,-0.13759901546463,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Fulton County","Arkansas",12477,25,1,0,0,1,36.3783981,-91.8110982,136,-0.265994848297256,-0.275871909560508,-0.13759901546463,-0.436459009712868,-0.245447209414891,0.525022003877604
"Garland County","Arkansas",99386,646,3,2,3,1,34.5488944,-93.1838539,137,0.299766273982793,-0.0152413774455192,0.735807260474499,0.35144918248353,0.891449791049367,0.525022003877604
"Grant County","Arkansas",18265,0,0,0,0,0,34.2773864,-92.420578,138,-0.288771060949432,-0.258514334166917,-0.574302153434195,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Greene County","Arkansas",45325,129,1,1,0,0,36.091803,-90.5778883,139,-0.171245803664204,-0.177364370422868,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Hempstead County","Arkansas",21532,79,1,0,1,0,33.6949319,-93.6929825,140,-0.216798228968556,-0.24871696049538,-0.13759901546463,-0.436459009712868,0.133518457406528,-0.51904074054229
"Hot Spring County","Arkansas",33771,100,1,0,1,1,34.2956351,-92.9005742,141,-0.197666210340729,-0.212013545629769,-0.13759901546463,-0.436459009712868,0.133518457406528,0.525022003877604
"Howard County","Arkansas",13202,25,1,1,0,0,34.0744088,-93.9745776,142,-0.265994848297256,-0.27369771430129,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Independence County","Arkansas",37825,199,1,1,0,0,35.718344,-91.55326,143,-0.107472408238112,-0.199856045518225,-0.13759901546463,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Izard County","Arkansas",13629,25,0,1,0,0,36.0832532,-91.8894787,144,-0.265994848297256,-0.272417188265861,-0.574302153434195,-0.0425049136146688,-0.245447209414891,-0.51904074054229
"Jackson County","Arkansas",16719,133,1,0,0,0,35.5770886,-91.196742,145,-0.167601609639856,-0.263150618126574,-0.13759901546463,-0.436459009712868,-0.245447209414891,-0.51904074054229
"Jefferson County","Arkansas",66824,498,1,1,0,1,34.2711667,-91.9248307,146,0.164931095081912,-0.112891234039523,-0.13759901546463,-0.0425049136146688,-0.245447209414891,0.525022003877604
